City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
95,laguna,38.421,-121.4238,75.24,46,0,1.99,US,2022-02-08 22:12:27
96,esperance,-33.8667,121.9,61.32,68,31,5.19,AU,2022-02-08 22:11:23
97,rodrigues alves,-7.738,-72.6509,80.47,73,94,1.45,BR,2022-02-08 22:12:27
98,djenne,13.9061,-4.5533,77.2,9,8,9.95,ML,2022-02-08 22:12:28
99,cherskiy,68.75,161.3,-42.63,100,84,4.38,RU,2022-02-08 22:12:28
100,pishin,30.5803,66.9961,40.14,53,12,2.13,PK,2022-02-08 22:12:28
101,margate,51.3813,1.3862,49.96,78,95,5.01,GB,2022-02-08 22:12:29
102,khatanga,71.9667,102.5,4.42,83,100,16.71,RU,2022-02-08 22:11:14
103,nouadhibou,20.931,-17.0347,66.52,73,98,11.54,MR,2022-02-08 22:07:31
104,thompson,55.7435,-97.8558,21.29,93,100,13.09,CA,2022-02-08 22:09:58
105,ilulissat,69.2167,-51.1,-7.58,64,38,26.46,GL,2022-02-08 22:12:30
106,dikson,73.5069,80.5464,1.4,95,100,21.65,RU,2022-02-08 22:12:30
107,bredasdorp,-34.5322,20.0403,64.27,84,36,4.76,ZA,2022-02-08 22:12:30
108,coldwater,41.9403,-85.0005,30.29,68,0,10.36,US,2022-02-08 22:12:31
109,paris,48.8534,2.3488,48.97,92,0,5.75,FR,2022-02-08 22:10:32
110,inongo,-1.95,18.2667,76.96,57,100,5.37,CD,2022-02-08 22:12:32
111,atuona,-9.8,-139.0333,78.62,77,20,15.97,PF,2022-02-08 22:12:32
112,broome,42.2506,-75.833,32.83,76,100,5.99,US,2022-02-08 22:09:04
113,tuatapere,-46.1333,167.6833,59.83,77,94,3.83,NZ,2022-02-08 22:12:32
114,butaritari,3.0707,172.7902,81.84,77,72,13.91,KI,2022-02-08 22:12:33
115,tilichiki,60.4667,166.1,-18.15,89,12,8.86,RU,2022-02-08 22:12:33
116,imbituba,-28.24,-48.6703,75.09,78,3,7.56,BR,2022-02-08 22:12:33
117,palembang,-2.9167,104.7458,77.09,88,20,4.61,ID,2022-02-08 22:12:34
118,pemberton,50.3164,-122.8027,44.15,98,100,5.35,CA,2022-02-08 22:12:34
119,presidencia roque saenz pena,-26.7852,-60.4388,85.55,23,47,3.78,AR,2022-02-08 22:12:35
120,port blair,11.6667,92.75,77.04,88,40,6.91,IN,2022-02-08 22:12:35
121,vallenar,-28.5708,-70.7581,79.45,43,0,8.37,CL,2022-02-08 22:12:35
122,haines junction,60.7522,-137.5108,33.08,91,87,6.85,CA,2022-02-08 22:12:36
123,vila,42.0304,-8.1588,44.33,66,3,3.76,PT,2022-02-08 22:12:36
124,ponta do sol,32.6667,-17.1,66.83,51,32,9.55,PT,2022-02-08 22:12:37
125,saint-louis,16.3333,-15.0,80.08,10,0,10.11,SN,2022-02-08 22:12:37
126,kutum,14.2,24.6667,57.74,16,1,7.16,SD,2022-02-08 22:12:37
127,hun,29.1268,15.9477,52.7,76,10,8.93,LY,2022-02-08 22:09:18
128,freeport,40.6576,-73.5832,39.18,58,75,21.85,US,2022-02-08 22:11:26
129,talnakh,69.4865,88.3972,-0.8,96,100,11.59,RU,2022-02-08 22:12:38
130,kawalu,-7.3817,108.2082,73.33,92,99,1.54,ID,2022-02-08 22:12:38
131,huaicheng,23.9051,112.1931,46.02,92,99,1.07,CN,2022-02-08 22:12:39
132,cururupu,-1.8283,-44.8683,75.87,92,97,2.91,BR,2022-02-08 22:12:39
133,price,39.5994,-110.8107,52.86,19,0,16.11,US,2022-02-08 22:12:40
134,guerrero negro,27.9769,-114.0611,73.89,23,31,8.66,MX,2022-02-08 22:12:40
135,souillac,-20.5167,57.5167,74.35,84,100,7.34,MU,2022-02-08 22:09:53
136,biltine,14.5333,20.9167,67.05,11,0,8.28,TD,2022-02-08 22:12:40
137,lubao,14.9167,120.55,77.14,87,34,6.49,PH,2022-02-08 22:12:41
138,nikolskoye,59.7035,30.7861,28.8,96,100,4.81,RU,2022-02-08 22:09:50
139,mar del plata,-38.0023,-57.5575,68.02,82,0,15.01,AR,2022-02-08 22:09:11
140,bethel,41.3712,-73.414,37.54,69,100,8.05,US,2022-02-08 22:13:42
141,pevek,69.7008,170.3133,-32.37,100,46,4.7,RU,2022-02-08 22:13:42
142,krasnoselkup,65.7,82.4667,-11.76,91,100,10.49,RU,2022-02-08 22:11:19
143,hambantota,6.1241,81.1185,75.96,67,100,11.86,LK,2022-02-08 22:13:43
144,xiaoshi,41.2971,124.1209,8.62,89,5,3.91,CN,2022-02-08 22:13:43
145,guiong,6.4186,122.0258,77.45,87,100,5.44,PH,2022-02-08 22:13:44
