City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
309,Tinaquillo,VE,86.07,Scattered Clouds,9.9186,-68.3047,Hotel Los Copihues
313,Isangel,VU,79.21,Overcast Clouds,-19.55,169.2667,Tanna Lodge
314,Auki,SB,75.34,Overcast Clouds,-8.7676,160.7034,Auki Motel
318,Alofi,NU,75.09,Few Clouds,-19.0595,-169.9187,Taloa Heights
321,San Policarpo,PH,78.26,Overcast Clouds,12.1791,125.5072,Agapita M. Nicart
325,Katherine,AU,79.12,Clear Sky,-14.4667,132.2667,Pine Tree Motel
329,Mogadishu,SO,77.59,Broken Clouds,2.0371,45.3438,Hotel Juba
333,Jilib,SO,75.9,Scattered Clouds,0.4883,42.7854,Waadi Hotel
336,Cukai,MY,75.15,Overcast Clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
339,Saint Pete Beach,US,81.07,Clear Sky,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
340,Rio Grande,BR,84.31,Few Clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
342,Kulhudhuffushi,MV,81.79,Overcast Clouds,6.6221,73.07,Haajy Guest House 1
348,Santa Rosa,PH,81.1,Overcast Clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
349,Luba,GQ,87.69,Overcast Clouds,3.4568,8.5547,
351,Vitoria,BR,78.66,Thunderstorm,-20.3194,-40.3378,Hotel Prata
356,Kalmunai,LK,77.29,Overcast Clouds,7.4167,81.8167,VS Villa
362,Cananeia,BR,80.65,Scattered Clouds,-25.0147,-47.9267,Pousada Ancoradouro
365,Phalaborwa,ZA,87.08,Clear Sky,-23.943,31.1411,Bothabelo Bed and Breakfast
366,Tomatlan,MX,87.22,Scattered Clouds,19.9333,-105.25,El Salvial
367,Hambantota,LK,77.43,Broken Clouds,6.1241,81.1185,Bungalow 63
371,Mitsamiouli,KM,78.4,Light Rain,-11.3847,43.2844,Foyer ADM
372,The Valley,AI,81.82,Scattered Clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
374,Marang,MY,75.11,Overcast Clouds,5.2056,103.2059,DBarakah Homestay
375,Lazaro Cardenas,MX,84.79,Overcast Clouds,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
377,Micheweni,TZ,80.46,Overcast Clouds,-4.9667,39.8333,
378,Poum,NC,80.2,Overcast Clouds,-20.2333,164.0167,
384,Labuhan,ID,76.89,Moderate Rain,-6.8844,112.2051,DoubleFAG
385,Padang,ID,77.97,Overcast Clouds,-0.9492,100.3543,Mercure Padang
389,Marica,BR,83.26,Scattered Clouds,-22.9194,-42.8186,Marica Hills
391,Sabang,ID,82.53,Broken Clouds,5.8933,95.3214,Hotel Citra
392,Miramar,US,83.01,Scattered Clouds,25.9873,-80.2323,Casa Miramar
395,Caravelas,BR,84.02,Overcast Clouds,-17.7125,-39.2481,Pousada dos Navegantes
400,Sao Joao Da Barra,BR,84.29,Overcast Clouds,-21.6403,-41.0511,Pousada Porto De Canoas
401,Sinnamary,GF,79.95,Broken Clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
409,Celestun,MX,80.11,Overcast Clouds,20.8667,-90.4,Posada Lilia
414,Tautira,PF,77.02,Light Rain,-17.7333,-149.15,Pension Oaoa
415,Kattivakkam,IN,81.07,Few Clouds,13.2167,80.3167,Euronova Freezer
