City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
131,Yar-Sale,RU,66.8333,70.8333,-7.76,88,100,14.67,Overcast Clouds
132,Vanimo,PG,-2.6741,141.3028,77.74,86,91,6.89,Overcast Clouds
133,Sorland,NO,67.667,12.6934,32.16,66,48,7.49,Scattered Clouds
134,Saint-Augustin,CA,51.226,-58.6502,32.47,99,100,15.99,Snow
135,Pochutla,MX,15.7432,-96.4661,84.02,40,33,5.48,Scattered Clouds
136,Thompson,CA,55.7435,-97.8558,-16.44,69,0,8.05,Clear Sky
137,Kargil,IN,34.5667,76.1,-14.06,77,64,4.07,Broken Clouds
138,Katobu,ID,-4.9408,122.5276,75.11,93,100,4.56,Overcast Clouds
139,Veraval,IN,20.9,70.3667,70.59,55,3,9.19,Clear Sky
140,Karpathos,GR,35.507,27.2132,55.36,62,20,3.44,Few Clouds
141,Antofagasta,CL,-23.65,-70.4,74.21,59,8,9.4,Clear Sky
142,Hengshui,CN,37.7322,115.7011,34.88,72,100,10.8,Light Snow
143,Nam Dinh,VN,20.4167,106.1667,65.46,93,100,8.59,Overcast Clouds
144,Lumberton,US,34.6182,-79.0086,67.82,45,79,9.08,Broken Clouds
145,Portales,US,34.1862,-103.3344,31.33,56,74,4.76,Broken Clouds
146,Avera,US,33.194,-82.5271,62.11,48,98,4.32,Overcast Clouds
147,Treinta Y Tres,UY,-33.2333,-54.3833,69.58,91,98,12.33,Overcast Clouds
148,Puerto Ayora,EC,-0.7393,-90.3518,80.56,87,87,1.99,Overcast Clouds
149,Cayenne,GF,4.9333,-52.3333,82.44,88,75,10.36,Broken Clouds
150,Sambava,MG,-14.2667,50.1667,77.5,84,39,8.57,Moderate Rain
151,Berlevag,NO,70.8578,29.0864,24.64,79,85,18.92,Overcast Clouds
152,Athmallik,IN,20.7219,84.5348,61.9,26,18,2.75,Few Clouds
153,Tura,IN,25.5198,90.2201,55.62,72,0,3.89,Clear Sky
154,Esfarayen,IR,37.0765,57.5101,38.86,71,46,6.44,Scattered Clouds
155,Nome,US,64.5011,-165.4064,1.47,60,100,8.05,Overcast Clouds
156,Margate,GB,51.3813,1.3862,44.46,66,99,7.0,Overcast Clouds
157,Goure,NE,13.9835,10.2704,81.01,8,8,9.57,Clear Sky
158,San Joaquin,US,37.9333,-121.3011,58.48,93,0,0.0,Clear Sky
159,Butaritari,KI,3.0707,172.7902,82.08,75,53,16.69,Broken Clouds
160,Kota Bahru,MY,6.1333,102.2386,76.98,94,20,2.3,Light Rain
161,Albany,US,42.6001,-73.9662,50.63,48,99,1.01,Overcast Clouds
162,Karwar,IN,14.8,74.1333,75.31,69,4,7.11,Clear Sky
163,Saint George,US,37.1041,-113.5841,53.35,25,0,4.61,Clear Sky
164,Dwarka,IN,22.2394,68.9678,71.04,49,2,11.56,Clear Sky
165,Jacareacanga,BR,-6.2222,-57.7528,83.8,83,91,2.93,Overcast Clouds
166,Mamburao,PH,13.25,120.6667,76.98,80,100,5.46,Overcast Clouds
167,Alice Springs,AU,-23.7,133.8833,63.95,68,0,0.0,Clear Sky
168,Geraldton,AU,-28.7667,114.6,72.01,78,5,16.11,Clear Sky
169,Semnan,IR,35.5729,53.3971,48.04,61,0,2.3,Clear Sky
